Year-Month,Gasoline Prices ($/Gal)
1993-04,1.078
1993-05,1.1
1993-06,1.097
1993-07,1.078
1993-08,1.062
1993-09,1.05
1993-10,1.092
1993-11,1.066
1993-12,1.014
1994-01,0.998
1994-02,1.009
1994-03,1.008
1994-04,1.027
1994-05,1.047
1994-06,1.078
1994-07,1.106
1994-08,1.155
1994-09,1.144
1994-10,1.114
1994-11,1.119
1994-12,1.129
1995-01,1.13
1995-02,1.12
1995-03,1.119
1995-04,1.157
1995-05,1.225
1995-06,1.239
1995-07,1.201
1995-08,1.17
1995-09,1.158
1995-10,1.134
1995-11,1.109
1995-12,1.118
1996-01,1.137
1996-02,1.136
1996-03,1.183
1996-04,1.275
1996-05,1.324
1996-06,1.3
1996-07,1.272
1996-08,1.251
1996-09,1.247
1996-10,1.249
1996-11,1.278
1996-12,1.282
1997-01,1.283
1997-02,1.276
1997-03,1.251
1997-04,1.244
1997-05,1.245
1997-06,1.242
1997-07,1.22
1997-08,1.268
1997-09,1.276
1997-10,1.242
1997-11,1.216
1997-12,1.177
1998-01,1.132
1998-02,1.096
1998-03,1.064
1998-04,1.077
1998-05,1.105
1998-06,1.103
1998-07,1.094
1998-08,1.065
1998-09,1.049
1998-10,1.059
1998-11,1.036
1998-12,0.987
1999-01,0.98
1999-02,0.962
1999-03,1.022
1999-04,1.171
1999-05,1.171
1999-06,1.154
1999-07,1.197
1999-08,1.26
1999-09,1.295
1999-10,1.285
1999-11,1.292
1999-12,1.313
2000-01,1.329
2000-02,1.415
2000-03,1.556
2000-04,1.506
2000-05,1.526
2000-06,1.666
2000-07,1.591
2000-08,1.506
2000-09,1.588
2000-10,1.571
2000-11,1.557
2000-12,1.483
2001-01,1.487
2001-02,1.49
2001-03,1.45
2001-04,1.591
2001-05,1.738
2001-06,1.658
2001-07,1.466
2001-08,1.461
2001-09,1.557
2001-10,1.357
2001-11,1.212
2001-12,1.127
2002-01,1.148
2002-02,1.155
2002-03,1.289
2002-04,1.439
2002-05,1.434
2002-06,1.424
2002-07,1.438
2002-08,1.438
2002-09,1.441
2002-10,1.486
2002-11,1.461
2002-12,1.429
2003-01,1.5
2003-02,1.655
2003-03,1.734
2003-04,1.633
2003-05,1.539
